Templeton,,10190,300,1
Thunderbird,,9900,340,1
Titus,,8070,100,1
Tule Lake Shelter,,11450,340,1
Turkey Swamp,,8739,165,1
Two Moon Rockshelter,,8570,60,1
Two Moon Rockshelter,,10060,60,1
Union Pacific mammoth,,11360,350,1
Upper Shawnee Island,,9330,545,1
Vail,,10530,103,3
Varney Farm,,8568.682,30.69978,1
Vegan,,8400,130,1
Ventana Cave,,9310.61,30.03141,1
Ventana Cave,,10390.87,80.93116,1
Ventana Cave,,11300,1200,1
Vermilion Lakes Loc. A (153R),,9644.239,98.23958,1
Vermilion Lakes Loc. A (153R),,9921.711,46.151,1
Vermilion Lakes Loc. A (153R),,10221.45,107.2899,1
Vermilion Lakes Loc. A (153R),,10330.91,60.46298,1
Vermilion Lakes Loc. A (153R),,10771.45,173.4714,1
Vermilion Lakes Loc. B (502R),,9908.183,96.72582,1
Wadleigh Falls,,8630,150,1
Wallmann mammoth,,11080,300,1
Walnut Street trench,,8685,370,1
Walter’s Cave,,8875,125,1
Wapanucket 8,,8638.183,58.256,1
Ward’s Point,,8250,140,1
Warm Mineral Spring,,9337.465,195.9105,1
Warm Mineral Spring,,10980,160,1
"Wasden, Owl Cave",,10328.02,49.51575,1
Weirs Beach,,9022.462,185.4239,1
Weirs Beach,,9615,225,1
Welsch,,8000,120,1
Welsch,,8090,110,1
Welsch,,8173.698,81.08696,1
Welsch,,8190,77.78175,1
Welsch,,8224.523,65.2698,1
Welsch,,8240,77.78175,1
West Creek,,9850,160,1
Wewukiyephuh,,10343.17,31.23475,1
Whalen,,9302.094,97.71764,1
WHD Sage Creek,,8230,540,1
WHD Sage Creek,,8527.09,179.2876,1
Whipple,,10376.7,176.8103,1
Willard mastodon,,9600,205,1
Wilson Butte Cave,,10440.33,66.89647,1
Wilson-Leonard,,8884.416,68.37635,1
Wilson-Leonard,,9555.039,66.11497,1
Windy Mesa,,8270,80,1
Winger,,9080,90,1
Wizard Beach,,9204.145,29.4534,1
Wood Island,,8040,90,1
Wyght,,8030,1970,1
