radiocarbon_id,14C age,error
154,2288,35
1468,2290,40
653,2290,75
300,2290,30
244,2295,60
2760,2295,70
75,2295,55
2555,2300,40
1736,2300,23
592,2302,33
583,2303,21
343,2305,70
638,2309,35
2376,2310,60
2507,2310,35
1336,2313,45
2031,2315,32
738,2315,45
1464,2320,40
101,2320,50
1605,2320,60
2780,2320,70
1778,2322,31
1831,2328,21
192,2330,20
629,2335,35
1465,2340,40
1695,2340,77
607,2342,42
1341,2343,39
311,2345,50
586,2347,32
1088,2349,20
1660,2350,40
2291,2350,40
1802,2350,40
123,2350,50
43,2352,51
2229,2355,30
1553,2360,40
1466,2360,40
290,2360,45
158,2360,40
159,2360,40
566,2360,60
323,2360,45
318,2360,45
2781,2365,70
2812,2370,40
2782,2370,70
237,2370,85
241,2374,36
2184,2380,40
125,2380,60
305,2385,70
2172,2385,35
1859,2386,38
2713,2387,25
2295,2390,40
2421,2390,40
42,2394,30
1922,2395,18
2770,2395,235
2422,2397,39
1642,2398,29
2743,2399,20
552,2400,50
780,2400,15
1508,2403,22
2120,2404,25
1603,2405,35
2866,2405,44
2076,2409,22
319,2410,80
10,2410,60
606,2410,40
239,2410,60
781,2410,15
1295,2414,23
2080,2415,40
310,2415,45
2199,2418,30
309,2420,40
82,2420,60
207,2420,100
119,2420,70
1766,2421,48
1176,2424,20
1325,2427,23
1852,2428,30
2656,2432,49
1790,2433,26
2635,2433,32
2075,2434,22
242,2435,45
2077,2435,23
770,2437,29
302,2440,65
223,2440,20
177,2440,50
201,2440,70
199,2440,55
2766,2440,50
1472,2440,70
1261,2443,24
303,2445,40
609,2446,39
2213,2446,27
137,2447,22
1091,2449,20
1839,2450,19
575,2450,60
333,2450,75
1902,2455,22
2073,2456,39
2056,2457,24
1545,2458,35
2293,2460,40
1382,2460,35
69,2460,70
563,2460,106
112,2460,20
2294,2461,32
585,2461,31
1233,2465,20
2783,2465,160
1765,2465,20
2078,2467,27
714,2468,31
243,2470,35
2165,2470,35
1483,2470,30
2722,2470,30
1881,2470,140
335,2470,80
50,2470,60
1342,2471,25
38,2472,38
1506,2473,26
1357,2473,47
1405,2474,26
704,2474,33
1396,2474,30
2683,2475,25
289,2475,45
336,2475,80
220,2475,100
102,2475,25
224,2475,25
2169,2475,35
1204,2478,24
1578,2480,40
2071,2480,30
1420,2480,60
193,2480,55
194,2480,55
1285,2484,27
1286,2484,32
1757,2485,35
2055,2486,23
1637,2489,37
1775,2489,39
2509,2490,40
2166,2490,35
1681,2490,40
238,2490,85
2678,2490,120
601,2490,30
198,2490,55
1507,2491,24
1649,2491,23
1697,2493,32
538,2495,35
304,2495,70
2099,2495,35
1203,2496,25
2161,2498,23
1434,2499,37
1042,2500,34
2535,2500,40
797,2500,30
2119,2500,40
2487,2500,35
1050,2500,120
104,2500,25
1339,2501,25
584,2503,30
766,2505,35
2774,2505,50
2827,2505,40
1139,2507,30
1853,2508,39
608,2508,39
763,2509,30
1343,2509,24
2639,2509,33
2141,2510,40
1463,2510,40
63,2510,60
487,2510,80
2448,2510,55
64,2510,40
2236,2516,34
1654,2518,45
450,2518,60
2350,2519,27
2164,2520,60
96,2520,40
798,2520,25
785,2520,50
498,2520,30
1423,2520,70
446,2525,25
2837,2525,20
672,2530,60
2668,2530,70
1123,2530,130
671,2530,70
459,2530,35
2381,2530,60
2498,2534,28
1284,2534,26
1729,2535,35
2117,2535,35
1355,2536,47
1281,2537,20
481,2540,35
557,2540,40
1448,2540,25
62,2540,40
505,2540,70
2447,2540,60
165,2540,20
2074,2544,37
603,2544,41
2593,2550,36
2793,2550,60
440,2550,130
1346,2550,60
1653,2551,20
2084,2555,35
843,2557,28
501,2560,105
1726,2563,34
1899,2565,35
30,2565,22
1563,2567,23
2168,2570,35
644,2570,40
787,2570,60
1433,2570,38
783,2570,40
1191,2571,23
1636,2572,45
1235,2574,27
1608,2577,35
1730,2580,34
1612,2580,38
733,2580,70
2835,2583,38
1876,2585,80
456,2585,60
2685,2585,45
1383,2585,29
2032,2588,49
1408,2589,21
2014,2590,30
2290,2590,40
1370,2590,35
479,2590,45
74,2590,70
1562,2592,22
1389,2596,42
